district,incident_count,incident_grade,station_count,subway_grade,construction_count,construction_grade,groundwater,old,final_grade_simple
강남구,29,5,68,5,101,5,3,2,4
강동구,5,4,13,3,19,5,3,1,3
강북구,3,3,6,1,4,1,3,2,2
강서구,9,5,24,4,22,5,3,1,4
관악구,1,1,2,1,2,1,2,1,1
광진구,0,1,8,2,11,4,3,1,2
구로구,6,4,15,3,6,2,3,2,3
금천구,2,2,7,2,19,5,2,2,3
노원구,3,3,13,3,4,1,3,2,2
도봉구,4,3,15,3,4,1,3,2,2
동대문구,12,5,31,5,13,4,3,2,4
동작구,6,4,36,5,15,4,2,1,3
마포구,5,4,16,4,4,1,3,1,3
서대문구,0,1,0,1,0,1,3,2,2
서초구,1,1,15,3,4,1,3,2,2
성동구,1,1,8,2,6,2,3,2,2
성북구,0,1,1,1,1,1,3,1,1
송파구,4,3,12,2,6,2,3,2,2
양천구,1,1,6,1,2,1,3,2,2
영등포구,12,5,20,4,23,5,3,2,4
용산구,1,1,11,2,9,3,3,3,2
은평구,2,2,20,4,12,4,3,1,3
종로구,9,5,27,5,9,3,2,2,3
중구,5,4,26,5,9,3,2,2,3
중랑구,3,3,17,4,8,3,3,1,3
