dong,gu,incident_grade,subway_grade,construction_grade,groundwater,old,final_grade_simple
개포1동,강남구,5,5,5,3,5,5
개포2동,강남구,5,5,5,3,4,4
개포3동,강남구,5,5,5,3,2,4
개포4동,강남구,5,5,5,3,2,4
논현1동,강남구,5,5,5,4,1,4
논현2동,강남구,5,5,5,3,1,4
대치1동,강남구,5,5,5,3,3,4
대치2동,강남구,5,5,5,3,5,5
대치4동,강남구,5,5,5,3,1,4
도곡1동,강남구,5,5,5,3,2,4
도곡2동,강남구,5,5,5,3,1,4
삼성1동,강남구,5,5,5,4,2,4
삼성2동,강남구,5,5,5,4,1,4
세곡동,강남구,5,5,5,3,1,4
수서동,강남구,5,5,5,3,1,4
신사동,강남구,5,5,5,4,4,5
압구정동,강남구,5,5,5,3,5,5
역삼1동,강남구,5,5,5,3,1,4
역삼2동,강남구,5,5,5,3,1,4
일원1동,강남구,5,5,5,3,2,4
일원2동,강남구,5,5,5,3,2,4
일원본동,강남구,5,5,5,3,1,4
청담동,강남구,5,5,5,3,2,4
강일동,강동구,4,3,5,4,1,3
고덕제1동,강동구,4,3,5,3,1,3
고덕제2동,강동구,4,3,5,4,2,4
길동,강동구,4,3,5,3,1,3
둔촌제1동,강동구,4,3,5,3,1,3
둔촌제2동,강동구,4,3,5,3,2,3
명일제1동,강동구,4,3,5,3,3,4
명일제2동,강동구,4,3,5,3,1,3
상일제1동,강동구,4,3,5,3,3,4
상일제2동,강동구,4,3,5,3,1,3
성내제1동,강동구,4,3,5,3,2,3
성내제2동,강동구,4,3,5,3,1,3
성내제3동,강동구,4,3,5,3,1,3
암사제1동,강동구,4,3,5,4,1,3
암사제2동,강동구,4,3,5,4,1,3
암사제3동,강동구,4,3,5,4,1,3
천호제1동,강동구,4,3,5,3,1,3
천호제2동,강동구,4,3,5,4,1,3
천호제3동,강동구,4,3,5,3,1,3
미아동,강북구,3,1,1,3,2,2
번제1동,강북구,3,1,1,3,1,2
번제2동,강북구,3,1,1,3,2,2
번제3동,강북구,3,1,1,3,2,2
삼각산동,강북구,3,1,1,3,1,2
삼양동,강북구,3,1,1,3,1,2
송중동,강북구,3,1,1,3,2,2
송천동,강북구,3,1,1,3,3,2
수유제1동,강북구,3,1,1,2,2,2
수유제2동,강북구,3,1,1,2,1,2
수유제3동,강북구,3,1,1,2,1,2
우이동,강북구,3,1,1,1,1,1
인수동,강북구,3,1,1,2,2,2
가양제1동,강서구,5,4,5,3,1,4
가양제2동,강서구,5,4,5,2,1,3
가양제3동,강서구,5,4,5,2,1,3
공항동,강서구,5,4,5,3,1,4
