dong,gu,groundwater,old,weight
개포1동,강남구,3,5,1
개포2동,강남구,3,4,1
개포3동,강남구,3,2,1
개포4동,강남구,3,2,1
논현1동,강남구,4,1,1
논현2동,강남구,3,1,1
대치1동,강남구,3,3,1
대치2동,강남구,3,5,1
대치4동,강남구,3,1,1
도곡1동,강남구,3,2,1
도곡2동,강남구,3,1,1
삼성1동,강남구,4,2,1
삼성2동,강남구,4,1,1
세곡동,강남구,3,1,1
수서동,강남구,3,1,1
신사동,강남구,4,4,1
압구정동,강남구,3,5,1
역삼1동,강남구,3,1,1
역삼2동,강남구,3,1,1
일원1동,강남구,3,2,1
일원2동,강남구,3,2,1
일원본동,강남구,3,1,1
청담동,강남구,3,2,1
강일동,강동구,4,1,1
고덕제1동,강동구,3,1,1
고덕제2동,강동구,4,2,1
길동,강동구,3,1,1
둔촌제1동,강동구,3,1,1
둔촌제2동,강동구,3,2,1
명일제1동,강동구,3,3,1
명일제2동,강동구,3,1,1
상일제1동,강동구,3,3,1
상일제2동,강동구,3,1,1
성내제1동,강동구,3,2,1
성내제2동,강동구,3,1,1
성내제3동,강동구,3,1,1
암사제1동,강동구,4,1,1
암사제2동,강동구,4,1,1
암사제3동,강동구,4,1,1
천호제1동,강동구,3,1,1
천호제2동,강동구,4,1,1
천호제3동,강동구,3,1,1
미아동,강북구,3,2,1
번제1동,강북구,3,1,1
번제2동,강북구,3,2,1
번제3동,강북구,3,2,1
삼각산동,강북구,3,1,1
삼양동,강북구,3,1,1
송중동,강북구,3,2,1
송천동,강북구,3,3,1
수유제1동,강북구,2,2,1
수유제2동,강북구,2,1,1
수유제3동,강북구,2,1,1
우이동,강북구,1,1,1
인수동,강북구,2,2,1
가양제1동,강서구,3,1,1
가양제2동,강서구,2,1,1
가양제3동,강서구,2,1,1
공항동,강서구,3,1,1
등촌제1동,강서구,2,1,1
등촌제2동,강서구,3,1,1
등촌제3동,강서구,2,1,1
발산제1동,강서구,3,1,1
방화제1동,강서구,3,1,1
방화제2동,강서구,3,1,1
방화제3동,강서구,3,1,1
염창동,강서구,3,1,1
우장산동,강서구,3,1,1
화곡본동,강서구,3,1,1
화곡제1동,강서구,3,1,1
화곡제2동,강서구,3,1,1
화곡제3동,강서구,3,1,1
화곡제4동,강서구,3,1,1
화곡제6동,강서구,3,1,1
화곡제8동,강서구,3,1,1
낙성대동,관악구,1,1,1
난곡동,관악구,2,1,1
난향동,관악구,2,1,1
남현동,관악구,3,1,1
대학동,관악구,1,1,1
미성동,관악구,2,1,1
보라매동,관악구,2,2,1
삼성동,관악구,1,2,1
서림동,관악구,2,1,1
서원동,관악구,2,1,1
성현동,관악구,2,1,1
신림동,관악구,2,1,1
신사동,관악구,2,1,1
신원동,관악구,2,1,1
은천동,관악구,2,1,1
인헌동,관악구,2,1,1
조원동,관악구,2,1,1
중앙동,관악구,2,1,1
청룡동,관악구,2,1,1
청림동,관악구,2,1,1
행운동,관악구,2,1,1
광장동,광진구,3,3,1
구의제1동,광진구,3,1,1
구의제2동,광진구,3,1,1
구의제3동,광진구,3,1,1
능동,광진구,3,1,1
자양제1동,광진구,3,1,1
자양제2동,광진구,3,1,1
자양제3동,광진구,3,2,1
자양제4동,광진구,3,2,1
중곡제1동,광진구,3,1,1
중곡제2동,광진구,3,1,1
중곡제3동,광진구,3,2,1
중곡제4동,광진구,3,1,1
화양동,광진구,3,1,1
가리봉동,구로구,3,2,1
개봉제1동,구로구,3,1,1
개봉제2동,구로구,3,1,1
개봉제3동,구로구,3,1,1
고척제1동,구로구,3,3,1
고척제2동,구로구,3,1,1
구로제1동,구로구,3,4,1
구로제2동,구로구,3,2,1
구로제3동,구로구,3,1,1
구로제4동,구로구,3,2,1
구로제5동,구로구,4,1,1
수궁동,구로구,2,2,1
신도림동,구로구,3,1,1
오류제1동,구로구,2,1,1
오류제2동,구로구,2,1,1
항동,구로구,2,1,1
가산동,금천구,3,1,1
독산제1동,금천구,2,1,1
독산제2동,금천구,2,2,1
독산제3동,금천구,2,1,1
독산제4동,금천구,2,1,1
시흥제1동,금천구,2,3,1
시흥제2동,금천구,2,1,1
시흥제3동,금천구,2,3,1
시흥제4동,금천구,2,1,1
시흥제5동,금천구,2,3,1
공릉1동,노원구,3,1,1
공릉2동,노원구,3,1,1
상계10동,노원구,3,5,1
상계1동,노원구,4,1,1
상계2동,노원구,3,1,1
상계3·4동,노원구,3,1,1
상계5동,노원구,3,4,1
상계6·7동,노원구,3,5,1
상계8동,노원구,3,5,1
상계9동,노원구,3,5,1
월계1동,노원구,3,2,1
월계2동,노원구,3,1,1
월계3동,노원구,3,3,1
중계1동,노원구,3,1,1
중계2·3동,노원구,3,1,1
중계4동,노원구,3,1,1
중계본동,노원구,3,1,1
하계1동,노원구,3,2,1
하계2동,노원구,3,4,1
도봉제1동,도봉구,4,2,1
도봉제2동,도봉구,4,1,1
방학제1동,도봉구,3,1,1
방학제2동,도봉구,3,2,1
방학제3동,도봉구,2,3,1
쌍문제1동,도봉구,2,2,1
쌍문제2동,도봉구,2,3,1
쌍문제3동,도봉구,2,2,1
쌍문제4동,도봉구,2,3,1
창제1동,도봉구,3,1,1
창제2동,도봉구,3,1,1
창제3동,도봉구,3,2,1
창제4동,도봉구,3,4,1
창제5동,도봉구,3,1,1
답십리제1동,동대문구,2,1,1
답십리제2동,동대문구,2,1,1
용신동,동대문구,2,2,1
